file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00049956,30,3,1,0.03333333333333333,0.1,152,6,0.039473684210526314
00049957,24,0,0,0.0,0.0,130,0,0.0
00049958,40,2,1,0.025,0.05,220,28,0.12727272727272726
00049959,19,0,0,0.0,0.0,90,40,0.4444444444444444
00049960,44,2,0,0.0,0.045454545454545456,224,7,0.03125
00049961,30,1,1,0.03333333333333333,0.03333333333333333,148,6,0.04054054054054054
00049962,22,2,2,0.09090909090909091,0.09090909090909091,104,50,0.4807692307692308
00049963,47,6,5,0.10638297872340426,0.1276595744680851,232,10,0.04310344827586207
00049964,39,0,0,0.0,0.0,198,14,0.0707070707070707
00049965,29,1,0,0.0,0.034482758620689655,140,0,0.0
00049966,7,1,0,0.0,0.14285714285714285,24,6,0.25
00049967,26,3,3,0.11538461538461539,0.11538461538461539,120,12,0.1
00049968,32,0,0,0.0,0.0,174,20,0.11494252873563218
00049969,28,1,0,0.0,0.03571428571428571,136,20,0.14705882352941177
00049970,38,2,2,0.05263157894736842,0.05263157894736842,212,24,0.11320754716981132
00049971,22,0,0,0.0,0.0,116,8,0.06896551724137931
00049972,22,2,0,0.0,0.09090909090909091,112,16,0.14285714285714285
00049973,39,1,1,0.02564102564102564,0.02564102564102564,204,6,0.029411764705882353
00049974,20,2,2,0.1,0.1,84,2,0.023809523809523808
00049975,11,0,0,0.0,0.0,42,0,0.0
00049976,20,0,0,0.0,0.0,90,10,0.1111111111111111
00049977,32,1,0,0.0,0.03125,152,12,0.07894736842105263
00049978,20,2,2,0.1,0.1,100,8,0.08
00049979,31,3,1,0.03225806451612903,0.0967741935483871,152,18,0.11842105263157894
00049980,46,0,0,0.0,0.0,236,10,0.0423728813559322
00049981,19,0,0,0.0,0.0,90,4,0.044444444444444446
00049982,23,1,1,0.043478260869565216,0.043478260869565216,96,6,0.0625
00049983,25,2,1,0.04,0.08,126,4,0.031746031746031744
00049984,29,0,0,0.0,0.0,142,43,0.3028169014084507
00049985,23,1,1,0.043478260869565216,0.043478260869565216,114,6,0.05263157894736842
00049986,38,3,2,0.05263157894736842,0.07894736842105263,180,6,0.03333333333333333
00049987,21,0,0,0.0,0.0,98,0,0.0
00049988,47,1,1,0.02127659574468085,0.02127659574468085,238,14,0.058823529411764705
00049989,33,1,1,0.030303030303030304,0.030303030303030304,152,4,0.02631578947368421
00049990,28,1,1,0.03571428571428571,0.03571428571428571,152,4,0.02631578947368421
00049991,12,1,0,0.0,0.08333333333333333,40,4,0.1
00055132,26,1,1,0.038461538461538464,0.038461538461538464,132,4,0.030303030303030304
00055451,22,0,0,0.0,0.0,102,4,0.0392156862745098
00055544,22,2,1,0.045454545454545456,0.09090909090909091,100,4,0.04
00059074,34,1,0,0.0,0.029411764705882353,184,36,0.1956521739130435
00066468,10,0,0,0.0,0.0,24,0,0.0
00071658,5,1,0,0.0,0.2,8,0,0.0
00071714,25,4,3,0.12,0.16,112,0,0.0
00073797,19,1,1,0.05263157894736842,0.05263157894736842,98,14,0.14285714285714285
00077475,31,0,0,0.0,0.0,160,14,0.0875
00077636,34,1,1,0.029411764705882353,0.029411764705882353,182,4,0.02197802197802198
00079147,57,1,1,0.017543859649122806,0.017543859649122806,294,42,0.14285714285714285
00084052,39,7,6,0.15384615384615385,0.1794871794871795,198,62,0.31313131313131315
00085425,32,0,0,0.0,0.0,148,2,0.013513513513513514
00088942,42,3,3,0.07142857142857142,0.07142857142857142,228,10,0.043859649122807015
00091752,36,0,0,0.0,0.0,200,8,0.04
